"tow","net","fraction","BS","count","depth_min","depth_max","Density_m3","Abundance_m2","Biomass_m2","Biovol_m2"
"m10","n10","5000","Big",1,0,50,0.00378644452858766,0.189322226429383,1.48641505918715,102.511383392217
"m10","n9","2000","Small",2,50,100,0.00756572725553244,0.378286362776622,0.0301861108502334,2.08180074829196
"m11","n10","5000","Small",1,0,50,0.00381752242794426,0.190876121397213,0.0140335375046242,0.967830172732706
"m11","n10","9900","Big",30,0,50,0.057262836419164,2.8631418209582,27.1884447055623,1875.06515210774
"m11","n9","2000","Small",1,50,100,0.0044474093840338,0.22237046920169,0.00302096286222336,0.208342266360232
"m47","n10","1000","Small",1,0,49.9,0.0185873605947955,0.927509293680297,0.0261629620497334,1.80434221032644
"m47","n10","2000","Small",1,0,49.9,0.00929368029739777,0.463754646840149,0.0113341941638352,0.781668563023114
"m47","n2","5000","Big",3,750,1000,0.0151133501259446,3.77833753148615,16.0914510042755,1109.75524167417
"m47","n3","5000","Big",4,500,750,0.0176776046845652,4.41940117114131,13.853069230505,955.384084862417
"m47","n5","2000","Big",1,300,400,0.00750609870519797,0.750609870519797,4.01230085195689,276.710403583234
"m47","n5","5000","Big",3,300,400,0.0225182961155939,2.25182961155939,4.91613859336214,339.044040921527
"m47","n6","5000","Big",1,200,300,0.005249343832021,0.5249343832021,1.49618391525539,103.18509760382
"m47","n9","5000","Small",1,49.9,99.2,0.0150772710139465,0.743309460987561,0.0592271615283175,4.08463182953914
"m48","n10","5000","Big",1,0,49.8,0.011887072808321,0.591976225854383,1.01963371126189,70.3195662939233
"m48","n2","5000","Big",2,750,1000,0.0105652403592182,2.64131008980454,4.00393149137858,276.133206301971
"m48","n3","2000","Big",2,500,750,0.0106255810864657,2.65639527161642,6.72986647205508,464.128722210695
"m48","n3","5000","Big",1,500,750,0.00531279054323283,1.32819763580821,0.897663826947244,61.9078501342927
"m48","n4","2000","Small",1,400,500,0.00551495932717496,0.551495932717496,0.0656257261723413,4.52591214981664
"m48","n4","5000","Big",1,400,500,0.00551495932717496,0.551495932717496,1.18301074308976,81.5869477992937
"m48","n5","5000","Small",1,300,400,0.00848716316571186,0.848716316571186,0.160341517121195,11.0580356635307
"m48","n6","5000","Big",1,200,300,0.00784775358053757,0.784775358053757,0.677765224627122,46.7424292846291
"m48","n6","5000","Small",1,200,300,0.00784775358053757,0.784775358053757,0.226922304831936,15.6498141263404
"m48","n7","5000","Big",1,150,200,0.0171673819742489,0.858369098712446,3.45131418311672,238.021667801153
"m48","n8","5000","Big",3,0,150,0.0312581401406616,4.68872102109925,23.5322041661088,1622.91063214543
"m48","n8","5000","Small",1,0,150,0.0104193800468872,1.56290700703308,0.685460255727411,47.273121084649
"m48","n9","1000","Small",1,49.8,100.4,0.0978593272171254,4.95168195718654,0.0615318044250954,4.24357271897209
"m48","n9","2000","Small",1,49.8,100.4,0.0978593272171254,4.95168195718654,0.300171706619597,20.701497008248
"m48","n9","5000","Big",1,49.8,100.4,0.0244648318042813,1.23792048929664,1.94921763070401,134.428802117518
"m90","n10","0200","Small",1,0,50,2.79934390377255,139.967195188628,1.17680018629552,81.1586335376217
"m90","n10","5000","Big",7,0,50,0.0548267084393969,2.74133542196985,21.2721769009207,1467.04668282212
