 ,Area,Mean,Min,Max,Length
1,0.025,99.767,17.795,179.507,3.886
2,0.029,84.208,16.105,154.156,4.461
3,0.027,67.819,2.100,176.656,4.174
4,0.026,79.626,20.424,144.288,4.054
5,0.028,98.424,12.193,161.539,4.218
6,0.025,80.254,3.580,218.365,3.890
7,0.030,87.624,2.111,137.717,4.534
8,0.021,108.996,59.617,205.346,3.164
9,0.022,116.379,33.720,192.541,3.339
10,0.023,89.205,1.501,190.846,3.579
11,0.025,38.450,0.719,77.333,3.806
12,0.038,55.185,0.041,237.289,5.772
13,0.037,32.559,0.032,100.071,5.726
14,0.029,27.101,0.149,102.185,4.496
15,0.030,16.243,0.018,135.925,4.641
16,0.032,25.770,0.371,75.421,4.877
17,0.035,40.066,0.588,95.731,5.302
18,0.021,35.062,0.674,116.942,3.289
19,0.031,19.901,0.418,162.031,4.717
